x,y,z,rad,name
-27,-19,4,5,putamen_posterior_l_1
-36,-22,-8,5,putamen_posterior_l_2
33,-10,1,5,putamen_posterior_r
-54,38,3,5,vlpfc_l
48,35,-2,5,vlpfc_r
15,56,25,5,fpc_r
